epoch,train_loss,train_acc,val_acc,cv,velocity,mu,sigma,z_score,dynamic_wd
1,4.669261741638183,0.0116921768707483,0.00977683315621679,0.12387745305895806,0.003087088465690613,0.0,1e-05,0.0,0.1
2,4.596863555908203,0.013392857142857142,0.007438894792773645,0.14555559754371644,0.0014436542987823486,0.0,1e-05,0.0,0.1
3,4.579341888427734,0.015306122448979591,0.007863974495217854,0.14362481385469436,0.0014266222715377808,0.0,1e-05,0.0,0.1
4,4.56946120262146,0.01403061224489796,0.007863974495217854,0.13848048448562622,0.0010827481746673584,0.0,1e-05,0.0,0.1
5,4.565157794952393,0.015306122448979591,0.004038257173219979,0.1483493059873581,-0.0007548630237579346,0.0,1e-05,0.0,0.1
6,4.560634469985962,0.017006802721088437,0.006376195536663124,0.17383532226085663,0.004803746938705444,0.0,1e-05,0.0,0.1
7,4.552130651473999,0.018494897959183673,0.0034006376195536664,0.25470393896102905,0.014775097370147705,0.0,1e-05,0.0,0.1
8,4.541323804855347,0.02189625850340136,0.0038257173219978747,0.41344853937625886,0.020545125007629395,0.0,1e-05,0.0,0.1
9,4.529603624343872,0.027636054421768707,0.005526036131774708,0.6304181039333343,0.034822821617126465,0.0,1e-05,0.0,0.1
10,4.516948986053467,0.028273809523809524,0.002975557917109458,0.9432732284069061,0.046347737312316895,0.0,1e-05,0.0,0.1
11,4.484885931015015,0.03125,0.0019128586609989374,1.3334454536437987,0.04641568660736084,0.0,1e-05,0.0,0.1
12,4.457092189788819,0.044642857142857144,0.003188097768331562,1.7729997158050537,0.06851828098297119,0.0,1e-05,0.0,0.1
13,4.41495451927185,0.04846938775510204,0.0023379383634431457,2.2520447731018067,0.04225349426269531,0.0,1e-05,0.0,0.1
14,4.368982028961182,0.06462585034013606,0.0021253985122210413,2.651613736152649,0.0625905990600586,0.0,1e-05,0.0,0.1
15,4.294070482254028,0.08460884353741496,0.002763018065887354,3.0869905948638916,0.060898542404174805,0.0,1e-05,0.0,0.1
16,4.221450138092041,0.09906462585034014,0.0036131774707757703,3.3989495992660523,0.019232988357543945,0.0,1e-05,0.0,0.1
