epoch,train_loss,train_acc,val_acc,cv,velocity,mu,sigma,z_score,dynamic_wd
1,4.655911540985107,0.010841836734693877,0.009351753453772583,0.11952854245901108,0.0018845200538635254,0.0,1e-05,0.0,0.1
2,4.583460474014283,0.012755102040816327,0.006801275239107333,0.1422469511628151,-0.0012035518884658813,0.0,1e-05,0.0,0.1
3,4.575368499755859,0.015306122448979591,0.006376195536663124,0.14815230518579484,0.0008650273084640503,0.0,1e-05,0.0,0.1
4,4.56803789138794,0.014668367346938776,0.005951115834218916,0.15460335314273835,0.00017018616199493408,0.0,1e-05,0.0,0.1
5,4.563575649261475,0.017431972789115645,0.006588735387885228,0.18068753480911254,0.007649973034858704,0.0,1e-05,0.0,0.1
6,4.557111215591431,0.01870748299319728,0.005313496280552604,0.24761947691440583,0.005850315093994141,0.0,1e-05,0.0,0.1
7,4.547334480285644,0.021258503401360544,0.004888416578108395,0.38521634340286254,0.02733030915260315,0.0,1e-05,0.0,0.1
8,4.5311607837677,0.0233843537414966,0.005100956429330499,0.6103101223707199,0.03643143177032471,0.0,1e-05,0.0,0.1
9,4.519367408752442,0.03167517006802721,0.0061636556854410204,0.9296967923641205,0.03696000576019287,0.0,1e-05,0.0,0.1
10,4.497100687026977,0.03210034013605442,0.004250797024442083,1.281707751750946,0.018536686897277832,0.0,1e-05,0.0,0.1
11,4.4643865585327145,0.04145408163265306,0.005100956429330499,1.7164591908454896,0.08140134811401367,0.0,1e-05,0.0,0.1
12,4.426261377334595,0.056760204081632654,0.005526036131774708,2.2056594014167787,0.04845452308654785,0.0,1e-05,0.0,0.1
13,4.378654813766479,0.0627125850340136,0.004675876726886291,2.6874028205871583,0.029757022857666016,0.0,1e-05,0.0,0.1
14,4.323813724517822,0.07716836734693877,0.005738575982996812,3.1188515186309815,0.08226299285888672,0.0,1e-05,0.0,0.1
15,4.249435043334961,0.1056547619047619,0.004675876726886291,3.4474188327789306,0.019800186157226562,0.0,1e-05,0.0,0.1
16,4.1597198963165285,0.1288265306122449,0.0061636556854410204,3.7611106634140015,0.07867980003356934,0.0,1e-05,0.0,0.1
17,4.077035999298095,0.15795068027210885,0.008289054197662061,4.212689590454102,0.08094072341918945,0.0,1e-05,0.0,0.1
18,3.9899043321609495,0.1915391156462585,0.00871413390010627,4.68288106918335,-0.006489276885986328,0.0,1e-05,0.0,0.1
19,3.9079621553421022,0.22045068027210885,0.014665249734325186,5.0312965393066404,0.04971456527709961,0.0,1e-05,0.0,0.1
20,3.8240170955657957,0.2548894557823129,0.018703506907545166,5.337245941162109,0.1118617057800293,0.0,1e-05,0.0,0.1
21,3.7228421449661253,0.289328231292517,0.02104144527098831,5.859331321716309,0.10630178451538086,0.0,1e-05,0.0,0.1
22,3.6277907371520994,0.3159013605442177,0.02614240170031881,6.058133363723755,-0.17116546630859375,0.0,1e-05,0.0,0.1
23,3.511385607719421,0.35841836734693877,0.03166843783209352,6.278616094589234,0.12300872802734375,0.0,1e-05,0.0,0.1
24,3.393487286567688,0.382015306122449,0.0359192348565356,6.469228601455688,0.13008499145507812,0.0,1e-05,0.0,0.1
25,3.284239888191223,0.414328231292517,0.0410201912858661,6.38192892074585,0.26894664764404297,0.0,1e-05,0.0,0.1
26,3.167425107955933,0.44727891156462585,0.048884165781083955,6.562529277801514,0.26268577575683594,0.0,1e-05,0.0,0.1
27,3.043783354759216,0.4802295918367347,0.06291179596174283,6.4676285743713375,0.22856569290161133,0.0,1e-05,0.0,0.1
28,2.927099895477295,0.5159438775510204,0.06992561105207226,6.444678878784179,0.1384429931640625,0.0,1e-05,0.0,0.1
29,2.7955127954483032,0.545280612244898,0.08352816153028693,6.392898941040039,0.23527765274047852,0.0,1e-05,0.0,0.1
30,2.670863962173462,0.5769557823129252,0.10074388947927737,6.307311964035034,0.027971744537353516,0.0,1e-05,0.0,0.1
31,2.551175284385681,0.6052295918367347,0.11477151965993623,6.221080780029297,-0.27155447006225586,0.0,1e-05,0.0,0.1
32,2.4087271690368652,0.6383928571428571,0.13219978746014877,6.066325521469116,-0.040862083435058594,0.0,1e-05,0.0,0.1
33,2.299469470977783,0.6598639455782312,0.14643995749202976,6.021494436264038,-0.070526123046875,0.0,1e-05,0.0,0.1
34,2.173687982559204,0.6855867346938775,0.16301806588735387,5.892846298217774,0.26381683349609375,0.0,1e-05,0.0,0.1
35,2.0400887966156005,0.7121598639455783,0.18809776833156217,5.873910140991211,-0.04381084442138672,0.0,1e-05,0.0,0.1
36,1.8933001160621643,0.7406462585034014,0.2059511158342189,5.67508864402771,0.02920389175415039,0.0,1e-05,0.0,0.1
37,1.7930893778800965,0.7693452380952381,0.23209351753453772,5.652850008010864,-0.15014076232910156,0.0,1e-05,0.0,0.1
38,1.6783237695693969,0.796343537414966,0.2546227417640808,5.641054439544678,0.26572465896606445,0.0,1e-05,0.0,0.1
39,1.552466630935669,0.8139880952380952,0.27523910733262485,5.584218549728393,-0.1449728012084961,0.0,1e-05,0.0,0.1
40,1.4607257843017578,0.8399234693877551,0.29925611052072265,5.463076591491699,0.04682302474975586,0.0,1e-05,0.0,0.1
41,1.3729212880134583,0.8616071428571429,0.3239107332624867,5.448530483245849,0.031903743743896484,0.0,1e-05,0.0,0.1
42,1.2685282230377197,0.8896683673469388,0.3515409139213603,5.435099840164185,-0.18815994262695312,0.0,1e-05,0.0,0.1
43,1.1642516136169434,0.9045493197278912,0.3657810839532412,5.412659406661987,-0.0383758544921875,0.0,1e-05,0.0,0.1
44,1.072048270702362,0.9221938775510204,0.38703506907545165,5.390250825881958,0.05615234375,0.0,1e-05,0.0,0.1
45,0.9920297920703888,0.938562925170068,0.40850159404888414,5.349764633178711,-0.07297611236572266,0.0,1e-05,0.0,0.1
