epoch,train_loss,train_acc,val_acc,cv,velocity,mu,sigma,z_score,dynamic_wd
1,4.639592790603638,0.01020408163265306,0.008926673751328374,0.12408928349614143,0.0012670159339904785,0.0,1e-05,0.0,0.1
2,4.590511512756348,0.01445578231292517,0.007226354941551541,0.14172291457653047,0.002104535698890686,0.0,1e-05,0.0,0.1
3,4.572545289993286,0.012542517006802721,0.0061636556854410204,0.1412029966711998,9.366869926452637e-05,0.0,1e-05,0.0,0.1
4,4.570880889892578,0.015731292517006803,0.005738575982996812,0.1378264382481575,-0.0028447359800338745,0.0,1e-05,0.0,0.1
5,4.5639995574951175,0.016581632653061226,0.0034006376195536664,0.13316332846879958,0.003852471709251404,0.0,1e-05,0.0,0.1
6,4.558994293212891,0.016581632653061226,0.005526036131774708,0.16199346780776977,0.008526623249053955,0.0,1e-05,0.0,0.1
7,4.5520893096923825,0.01870748299319728,0.004888416578108395,0.25128897577524184,0.013423055410385132,0.0,1e-05,0.0,0.1
8,4.537981271743774,0.024447278911564625,0.004675876726886291,0.39250260293483735,0.02217167615890503,0.0,1e-05,0.0,0.1
9,4.518324279785157,0.02614795918367347,0.004675876726886291,0.6139651417732239,0.020144104957580566,0.0,1e-05,0.0,0.1
10,4.501410245895386,0.029124149659863947,0.002975557917109458,0.9566727817058563,0.03683900833129883,0.0,1e-05,0.0,0.1
11,4.480582857131958,0.04081632653061224,0.002975557917109458,1.3917017102241516,0.0535130500793457,0.0,1e-05,0.0,0.1
12,4.4370420455932615,0.047619047619047616,0.0036131774707757703,1.8686328411102295,0.02841782569885254,0.0,1e-05,0.0,0.1
13,4.3823168754577635,0.06143707482993197,0.004250797024442083,2.337315392494202,0.06122899055480957,0.0,1e-05,0.0,0.1
14,4.326555776596069,0.07461734693877552,0.0038257173219978747,2.7795502185821532,0.021976947784423828,0.0,1e-05,0.0,0.1
15,4.261850786209107,0.10119047619047619,0.005100956429330499,3.2848833560943604,0.05247235298156738,0.0,1e-05,0.0,0.1
16,4.181418800354004,0.1254251700680272,0.005100956429330499,3.748047137260437,0.08423924446105957,0.0,1e-05,0.0,0.1
17,4.105370569229126,0.1564625850340136,0.005313496280552604,4.164802050590515,0.04548168182373047,0.0,1e-05,0.0,0.1
18,4.022055768966675,0.18218537414965985,0.006801275239107333,4.834200620651245,0.029030323028564453,0.0,1e-05,0.0,0.1
19,3.9424490928649902,0.20918367346938777,0.008926673751328374,5.092426013946533,0.2646188735961914,0.0,1e-05,0.0,0.1
20,3.8616400957107544,0.24553571428571427,0.012539851222104145,5.705892705917359,0.21400976181030273,0.0,1e-05,0.0,0.1
21,3.7635971307754517,0.26721938775510207,0.01849096705632306,5.850348377227784,0.07515668869018555,0.0,1e-05,0.0,0.1
22,3.668743062019348,0.30739795918367346,0.018278427205100957,6.300743818283081,-0.062458038330078125,0.0,1e-05,0.0,0.1
23,3.552561140060425,0.336734693877551,0.026354941551540913,6.526837968826294,0.1862168312072754,0.0,1e-05,0.0,0.1
24,3.4528944730758666,0.36883503401360546,0.03018065887353879,6.835852003097534,-0.0030226707458496094,0.0,1e-05,0.0,0.1
25,3.3468995809555055,0.4024234693877551,0.03634431455897981,6.7863359451293945,0.002971649169921875,0.0,1e-05,0.0,0.1
26,3.2171310424804687,0.42304421768707484,0.04293304994686504,7.001501893997192,-0.14983892440795898,0.0,1e-05,0.0,0.1
27,3.1047868013381956,0.461734693877551,0.051222104144527096,6.9117279052734375,0.02119731903076172,0.0,1e-05,0.0,0.1
28,2.968954849243164,0.4842687074829932,0.05908607863974495,6.87358717918396,0.06924104690551758,0.0,1e-05,0.0,0.1
29,2.8491265535354615,0.5289115646258503,0.07502656748140277,6.852164220809937,0.03392839431762695,0.0,1e-05,0.0,0.1
30,2.7166267156600954,0.5601615646258503,0.09521785334750266,6.663659334182739,0.14661502838134766,0.0,1e-05,0.0,0.1
31,2.5835543870925903,0.5903486394557823,0.1073326248671626,6.622459650039673,0.0507969856262207,0.0,1e-05,0.0,0.1
32,2.4514013290405274,0.626062925170068,0.12667375132837408,6.343621492385864,0.04882001876831055,0.0,1e-05,0.0,0.1
33,2.31861834526062,0.6577380952380952,0.1528161530286929,6.207749748229981,-0.08190059661865234,0.0,1e-05,0.0,0.1
34,2.1830381393432616,0.6943027210884354,0.1744952178533475,6.136409759521484,-0.06419706344604492,0.0,1e-05,0.0,0.1
35,2.054544186592102,0.7181122448979592,0.19766206163655686,6.006421232223511,-0.02520895004272461,0.0,1e-05,0.0,0.1
