epoch,train_loss,val_loss,train_acc,val_acc,cv
1,4.672316646575927,4.618791580200195,0.010629251700680272,0.009351753453772583,0.131918615847826
2,4.592443132400513,4.603587627410889,0.012755102040816327,0.009139213602550478,0.16880497634410857
3,4.574976778030395,4.60313081741333,0.01636904761904762,0.0076514346439957494,0.1624668300151825
4,4.568492269515991,4.6077985763549805,0.015306122448979591,0.0061636556854410204,0.16476256996393204
5,4.565895223617554,4.614001750946045,0.015093537414965986,0.0076514346439957494,0.1806519627571106
6,4.560902643203735,4.623162269592285,0.01403061224489796,0.007438894792773645,0.2168968588113785
7,4.551385498046875,4.6344895362854,0.017857142857142856,0.004675876726886291,0.29875715672969816
8,4.542975854873657,4.653769493103027,0.02189625850340136,0.004675876726886291,0.46265007853507994
9,4.5229349613189695,4.676205635070801,0.02189625850340136,0.0038257173219978747,0.7286168873310089
10,4.509344291687012,4.705344200134277,0.03188775510204082,0.004250797024442083,1.081550943851471
11,4.485517597198486,4.745377063751221,0.038477891156462586,0.004038257173219979,1.5120367884635926
12,4.450274038314819,4.812524318695068,0.04570578231292517,0.005738575982996812,2.0063756108283997
13,4.3968078136444095,4.90415096282959,0.05144557823129252,0.002763018065887354,2.441933345794678
14,4.346806573867798,5.0127129554748535,0.06887755102040816,0.0036131774707757703,2.8785396575927735
15,4.276583957672119,5.04163122177124,0.08652210884353742,0.005100956429330499,3.2461409091949465
16,4.197991561889649,5.036035537719727,0.11224489795918367,0.006376195536663124,3.642804479598999
17,4.112834405899048,5.0225396156311035,0.13350340136054423,0.008076514346439958,4.238794255256653
18,4.034815192222595,5.020040035247803,0.17006802721088435,0.009351753453772583,4.704017257690429
19,3.955989360809326,5.003652095794678,0.19770408163265307,0.010839532412327312,5.186196756362915
20,3.8664992332458494,4.992929935455322,0.23809523809523808,0.016153028692879916,5.847031736373902
21,3.784120965003967,4.975686550140381,0.2674319727891156,0.018065887353878853,6.041014909744263
22,3.6764722585678102,4.947656154632568,0.29846938775510207,0.022954303931987247,6.548237085342407
23,3.5658565521240235,4.923267364501953,0.3369472789115646,0.026780021253985122,6.722356224060059
24,3.4659841060638428,4.892364978790283,0.3692602040816326,0.03443145589798087,6.975945377349854
25,3.359262156486511,4.863312244415283,0.3977465986394558,0.03953241232731137,7.054466438293457
26,3.2245770692825317,4.813842296600342,0.4366496598639456,0.05100956429330499,7.066832447052002
27,3.0959102869033814,4.7755560874938965,0.46938775510204084,0.0567481402763018,6.9467630863189695
28,2.9798169136047363,4.732431411743164,0.5012755102040817,0.06333687566418704,6.954998779296875
29,2.8480114698410035,4.680130958557129,0.5408163265306123,0.08459086078639745,6.782846164703369
30,2.706622338294983,4.630566120147705,0.5678146258503401,0.0922422954303932,6.574968957901001
31,2.5949403285980224,4.582691192626953,0.5928996598639455,0.10584484590860786,6.516752529144287
32,2.454618048667908,4.526895523071289,0.6269132653061225,0.12986184909670564,6.303912353515625
33,2.317840266227722,4.471942901611328,0.6496598639455783,0.14495217853347503,6.237255334854126
34,2.2048487663269043,4.411773681640625,0.673469387755102,0.16025504782146652,6.05281434059143
35,2.0858152985572813,4.3545942306518555,0.703656462585034,0.1849096705632306,6.124952220916748
36,1.943677306175232,4.296319484710693,0.734906462585034,0.2106269925611052,6.015379333496094
37,1.8197837948799134,4.243556976318359,0.7597789115646258,0.230605738575983,5.959884691238403
38,1.7012234926223755,4.176130771636963,0.7874149659863946,0.25674814027630183,5.923188829421997
39,1.6040528416633606,4.1124587059021,0.8169642857142857,0.28459086078639745,5.841251468658447
40,1.4806504845619202,4.047335147857666,0.8375850340136054,0.30371944739638684,5.810918474197388
41,1.374706244468689,3.9941253662109375,0.8613945578231292,0.3292242295430393,5.73465313911438
42,1.2811591267585754,3.9409902095794678,0.8826530612244898,0.3472901168969182,5.719603776931763
43,1.1777247786521912,3.8885912895202637,0.8983843537414966,0.3662061636556854,5.690880346298218
44,1.085994577407837,3.833488702774048,0.9181547619047619,0.38746014877789586,5.647529602050781
45,1.0109901130199432,3.7995102405548096,0.9332482993197279,0.40233793836344317,5.571526432037354
46,0.9333430647850036,3.7409920692443848,0.9445153061224489,0.4153028692879915,5.578711986541748
47,0.8609983861446381,3.699843168258667,0.9606717687074829,0.43273113708820404,5.524469947814941
48,0.7839266538619996,3.6654694080352783,0.9664115646258503,0.44357066950053137,5.53131628036499
49,0.7272120535373687,3.6209402084350586,0.9755527210884354,0.4535600425079702,5.495317125320435
50,0.6546958684921265,3.576101303100586,0.9812925170068028,0.4684378320935175,5.484013271331787
51,0.5918561339378356,3.5366365909576416,0.9861819727891157,0.4733262486716259,5.431407785415649
52,0.5360382676124573,3.5154576301574707,0.9908588435374149,0.47970244420828906,5.472759819030761
53,0.4889770895242691,3.481717109680176,0.9957482993197279,0.4875664187035069,5.476240921020508
54,0.4480640411376953,3.4657039642333984,0.9965986394557823,0.4871413390010627,5.435234689712525
55,0.4082354813814163,3.4577720165252686,0.9976615646258503,0.491817215727949,5.40366907119751
56,0.37673712968826295,3.4351491928100586,0.998937074829932,0.49330499468650374,5.37186450958252
57,0.34406529664993285,3.4155144691467285,0.998937074829932,0.4956429330499469,5.375748062133789
58,0.3132685720920563,3.4201974868774414,0.9993622448979592,0.49436769394261426,5.324725484848022
59,0.2899584949016571,3.3922019004821777,0.9993622448979592,0.4967056323060574,5.3373393535614015
60,0.26275632083415984,3.3797080516815186,0.9995748299319728,0.49819341126461214,5.320286703109741
61,0.24078315049409865,3.3745641708374023,1.0,0.49883103081827845,5.272245931625366
62,0.2186156243085861,3.3666927814483643,0.9995748299319728,0.49861849096705635,5.290326023101807
63,0.20035173892974853,3.366591215133667,1.0,0.49861849096705635,5.262192678451538
64,0.18687251061201096,3.3554091453552246,1.0,0.49968119022316687,5.262955045700073
65,0.17442797273397445,3.349337577819824,1.0,0.500106269925611,5.266273498535156
66,0.1633292630314827,3.346677303314209,1.0,0.500106269925611,5.2421928405761715
67,0.1537005454301834,3.3533623218536377,1.0,0.5003188097768332,5.219824600219726
68,0.14343119263648987,3.34767746925354,1.0,0.500106269925611,5.213547849655152
69,0.13435930609703065,3.3457114696502686,1.0,0.5003188097768332,5.191194343566894
70,0.12402079254388809,3.360323429107666,1.0,0.5005313496280552,5.160976123809815
71,0.11777579337358475,3.349151849746704,1.0,0.5003188097768332,5.198040580749511
72,0.10982100814580917,3.3444950580596924,1.0,0.5003188097768332,5.165378427505493
73,0.1044575683772564,3.35465145111084,1.0,0.5007438894792774,5.146728372573852
74,0.10101693794131279,3.358525514602661,1.0,0.5005313496280552,5.159931468963623
75,0.09573713168501854,3.350747585296631,1.0,0.500106269925611,5.131361627578736
76,0.09116513729095459,3.35483455657959,1.0,0.5007438894792774,5.106142950057984
77,0.08710461109876633,3.3586785793304443,1.0,0.5009564293304994,5.089577722549438
78,0.08349402993917465,3.3504555225372314,1.0,0.5009564293304994,5.078882169723511
79,0.08002726659178734,3.3548245429992676,1.0,0.5013815090329437,5.087043714523316
80,0.07626475244760514,3.3620715141296387,1.0,0.5003188097768332,5.0508506298065186
81,0.07290434390306473,3.366053342819214,1.0,0.5005313496280552,5.067697906494141
82,0.07036021500825881,3.365896463394165,1.0,0.5011689691817216,5.072941446304322
83,0.06738803312182426,3.3664822578430176,1.0,0.5005313496280552,5.041460037231445
84,0.06485384479165077,3.3739185333251953,1.0,0.5011689691817216,5.038551950454712
85,0.062121637910604474,3.3779208660125732,1.0,0.5007438894792774,5.0350605010986325
86,0.06067025400698185,3.374368667602539,1.0,0.5013815090329437,5.029731559753418
87,0.058238270506262776,3.375565767288208,1.0,0.5009564293304994,5.005839157104492
88,0.0562225203961134,3.3767848014831543,1.0,0.5009564293304994,5.004574728012085
89,0.05438701622188091,3.3809092044830322,1.0,0.5009564293304994,4.982657527923584
90,0.05278659574687481,3.3825418949127197,1.0,0.5005313496280552,4.993224668502807
91,0.05115623697638512,3.3832666873931885,1.0,0.5007438894792774,4.993067598342895
92,0.04965523406863213,3.391923427581787,1.0,0.5009564293304994,4.982190561294556
93,0.0479210514575243,3.394425630569458,1.0,0.5013815090329437,4.984293985366821
94,0.04624324776232243,3.395076274871826,1.0,0.5007438894792774,4.964120388031006
95,0.04517327658832073,3.396165370941162,1.0,0.5015940488841658,4.959401273727417
96,0.04366329126060009,3.395559072494507,1.0,0.5009564293304994,4.966535425186157
97,0.042602815106511115,3.394551992416382,1.0,0.5011689691817216,4.957284212112427
98,0.041459467634558676,3.4004645347595215,1.0,0.5011689691817216,4.926875972747803
99,0.04029691368341446,3.401581287384033,1.0,0.5011689691817216,4.908141088485718
100,0.0393867339938879,3.412301778793335,1.0,0.5009564293304994,4.907203626632691
101,0.03879598863422871,3.414950132369995,1.0,0.5007438894792774,4.921429014205932
102,0.037330127134919164,3.4128851890563965,1.0,0.5009564293304994,4.915901184082031
103,0.036169597506523134,3.413367986679077,1.0,0.5013815090329437,4.887951040267945
104,0.03532487191259861,3.41961407661438,1.0,0.5013815090329437,4.906889390945435
105,0.034498806297779086,3.415712356567383,1.0,0.50201912858661,4.891526365280152
106,0.03371639549732208,3.417552947998047,1.0,0.5011689691817216,4.8914683818817135
107,0.03288523182272911,3.4195399284362793,1.0,0.5015940488841658,4.888267278671265
108,0.031938453763723375,3.4195470809936523,1.0,0.5011689691817216,4.874148988723755
109,0.03126141726970673,3.424564838409424,1.0,0.5013815090329437,4.860493469238281
110,0.030514099076390265,3.4247472286224365,1.0,0.5015940488841658,4.858661365509033
111,0.02984420657157898,3.4311091899871826,1.0,0.5011689691817216,4.853443813323975
112,0.029201599583029748,3.4325850009918213,1.0,0.5013815090329437,4.83697476387024
113,0.0285716051235795,3.4326207637786865,1.0,0.5015940488841658,4.818335819244385
114,0.02810108717530966,3.432152032852173,1.0,0.5015940488841658,4.824788188934326
115,0.027567312680184843,3.4379966259002686,1.0,0.5018065887353879,4.805479431152344
116,0.02676601205021143,3.436945676803589,1.0,0.5013815090329437,4.8031699657440186
117,0.026427694596350193,3.439134120941162,1.0,0.5015940488841658,4.813331413269043
118,0.02553724218159914,3.4421215057373047,1.0,0.5015940488841658,4.801616859436035
119,0.02550540994852781,3.443617343902588,1.0,0.5009564293304994,4.786411428451538
120,0.02471457254141569,3.448702096939087,1.0,0.5009564293304994,4.79211654663086
121,0.024377592653036118,3.446481466293335,1.0,0.5011689691817216,4.782849073410034
122,0.023859522119164468,3.4517323970794678,1.0,0.5013815090329437,4.776008272171021
123,0.023577089607715606,3.4519710540771484,1.0,0.5015940488841658,4.763627290725708
124,0.0230486074462533,3.449669122695923,1.0,0.5013815090329437,4.778486442565918
125,0.022612841986119746,3.4523696899414062,1.0,0.5013815090329437,4.764720249176025
126,0.02229638323187828,3.458535671234131,1.0,0.5011689691817216,4.754579639434814
127,0.021681895293295384,3.4590117931365967,1.0,0.5015940488841658,4.748311376571655
128,0.021374056488275527,3.4572346210479736,1.0,0.5015940488841658,4.738469457626342
129,0.020905227214097977,3.4631478786468506,1.0,0.5013815090329437,4.730487966537476
130,0.020745285972952842,3.4609034061431885,1.0,0.5011689691817216,4.73369870185852
131,0.020259524695575237,3.4637739658355713,1.0,0.5013815090329437,4.735337352752685
132,0.019862313568592072,3.468308210372925,1.0,0.5009564293304994,4.7089784145355225
133,0.019590555876493453,3.4662957191467285,1.0,0.50201912858661,4.716758489608765
134,0.019361983239650726,3.472792863845825,1.0,0.5018065887353879,4.7029866695404055
135,0.019023886136710643,3.471768379211426,1.0,0.5018065887353879,4.709498643875122
136,0.018694493174552917,3.472200870513916,1.0,0.5011689691817216,4.70777735710144
137,0.018476507626473904,3.476658821105957,1.0,0.5013815090329437,4.691727590560913
138,0.01819219496101141,3.4730610847473145,1.0,0.5015940488841658,4.686310720443726
139,0.017896282859146594,3.477290153503418,1.0,0.5013815090329437,4.682995557785034
140,0.017687434889376165,3.4778759479522705,1.0,0.5015940488841658,4.6720177173614506
141,0.01735184509307146,3.4810950756073,1.0,0.5015940488841658,4.662417840957642
142,0.016884981654584408,3.4867711067199707,1.0,0.5015940488841658,4.658219289779663
143,0.016629716381430626,3.4851279258728027,1.0,0.5018065887353879,4.662510061264038
144,0.0164018701761961,3.4843757152557373,1.0,0.5015940488841658,4.649801397323609
145,0.016188559867441655,3.4861624240875244,1.0,0.5015940488841658,4.639851045608521
146,0.016106499172747136,3.485487461090088,1.0,0.5013815090329437,4.640686988830566
147,0.015707943961024283,3.49172306060791,1.0,0.5011689691817216,4.636672067642212
148,0.015600549429655075,3.4929115772247314,1.0,0.5015940488841658,4.619644212722778
149,0.01530269319191575,3.4943747520446777,1.0,0.5013815090329437,4.627637672424316
150,0.015130159445106983,3.4971585273742676,1.0,0.5018065887353879,4.612598276138305
151,0.014868198614567518,3.4951274394989014,1.0,0.5018065887353879,4.6163405418396
152,0.014659172389656305,3.4971609115600586,1.0,0.5018065887353879,4.6070982933044435
153,0.014615964237600565,3.4966275691986084,1.0,0.50201912858661,4.611165332794189
154,0.014372180122882128,3.4966542720794678,1.0,0.5018065887353879,4.594131326675415
155,0.014160938188433647,3.5005578994750977,1.0,0.5013815090329437,4.5942668437957765
156,0.01395407523959875,3.5032894611358643,1.0,0.5018065887353879,4.597823715209961
157,0.013671233505010604,3.5000598430633545,1.0,0.5013815090329437,4.584953355789184
158,0.013590173143893481,3.502389430999756,1.0,0.5013815090329437,4.568495035171509
159,0.013325992785394192,3.5027523040771484,1.0,0.5013815090329437,4.571541166305542
160,0.013199087139219046,3.5066077709198,1.0,0.5013815090329437,4.57042384147644
161,0.013025839533656835,3.507230520248413,1.0,0.5018065887353879,4.572398853302002
162,0.012892278656363488,3.5105721950531006,1.0,0.5015940488841658,4.552848768234253
163,0.012686407193541527,3.5127298831939697,1.0,0.5015940488841658,4.545119953155518
164,0.012592113763093948,3.5128872394561768,1.0,0.5013815090329437,4.561914730072021
165,0.012431075796484947,3.513770341873169,1.0,0.5015940488841658,4.544768047332764
166,0.012299016769975423,3.513195753097534,1.0,0.5013815090329437,4.541699409484863
167,0.01209093015640974,3.5164294242858887,1.0,0.5013815090329437,4.521958112716675
168,0.01202021474018693,3.5151028633117676,1.0,0.5011689691817216,4.525816535949707
169,0.011830858327448368,3.5201306343078613,1.0,0.5018065887353879,4.52278847694397
170,0.011746843997389077,3.5178306102752686,1.0,0.5018065887353879,4.5202268123626705
171,0.011528035905212165,3.522651195526123,1.0,0.5015940488841658,4.515893411636353
172,0.011375598143786192,3.523988723754883,1.0,0.5013815090329437,4.513428401947022
173,0.011201075743883848,3.527209758758545,1.0,0.5018065887353879,4.509136152267456
174,0.011074736341834068,3.5254523754119873,1.0,0.5018065887353879,4.500804471969604
175,0.010984706319868564,3.524862289428711,1.0,0.5013815090329437,4.503841924667358
176,0.010812893602997064,3.526928663253784,1.0,0.5018065887353879,4.480848503112793
177,0.010690469294786453,3.5290229320526123,1.0,0.5015940488841658,4.485209608078003
178,0.010580608528107405,3.53275728225708,1.0,0.5015940488841658,4.496550798416138
179,0.010576147120445967,3.5300307273864746,1.0,0.5015940488841658,4.482025289535523
180,0.01040143109858036,3.5320162773132324,1.0,0.5018065887353879,4.4701190948486325
181,0.01026077875867486,3.535510301589966,1.0,0.5015940488841658,4.463940572738648
182,0.010169319342821836,3.536167860031128,1.0,0.5013815090329437,4.455750846862793
183,0.010103714186698198,3.5365123748779297,1.0,0.5013815090329437,4.461100625991821
184,0.009922724962234498,3.5346925258636475,1.0,0.5015940488841658,4.44864182472229
185,0.009807477239519358,3.5333306789398193,1.0,0.5015940488841658,4.450631952285766
186,0.009646298550069331,3.5365328788757324,1.0,0.5018065887353879,4.441901636123657
187,0.009573280531913041,3.5385966300964355,1.0,0.5015940488841658,4.439031744003296
188,0.009507962130010128,3.5414228439331055,1.0,0.5018065887353879,4.4307066917419435
189,0.00941864848136902,3.5397865772247314,1.0,0.5015940488841658,4.433871841430664
190,0.009248919691890478,3.5405080318450928,1.0,0.5013815090329437,4.4216899394989015
191,0.009096687659621239,3.5403435230255127,1.0,0.5015940488841658,4.410163307189942
192,0.009083632193505765,3.547969341278076,1.0,0.5018065887353879,4.406020641326904
193,0.008981000632047653,3.546846866607666,1.0,0.5015940488841658,4.407027816772461
194,0.008926710113883018,3.545405149459839,1.0,0.5018065887353879,4.406773328781128
195,0.00876767998561263,3.5456578731536865,1.0,0.5018065887353879,4.3964745044708256
196,0.008731324598193169,3.550537109375,1.0,0.5015940488841658,4.398633909225464
197,0.008626835327595473,3.5488169193267822,1.0,0.5024442082890542,4.393298959732055
198,0.008568573277443647,3.551600694656372,1.0,0.5018065887353879,4.383985424041748
199,0.008459719456732273,3.5525455474853516,1.0,0.5018065887353879,4.377742624282837
200,0.008404483553022146,3.557274103164673,1.0,0.5018065887353879,4.379784202575683
201,0.008314107730984687,3.55466628074646,1.0,0.5015940488841658,4.365719270706177
202,0.00820689918473363,3.554702043533325,1.0,0.5018065887353879,4.374467372894287
203,0.008093193033710122,3.5555343627929688,1.0,0.5015940488841658,4.375757455825806
204,0.008053984167054296,3.5573110580444336,1.0,0.5011689691817216,4.362963104248047
205,0.007976490119472147,3.556086540222168,1.0,0.5015940488841658,4.355556774139404
206,0.007928010821342469,3.5627191066741943,1.0,0.5015940488841658,4.349910640716553
207,0.0077971193008124825,3.560914993286133,1.0,0.5013815090329437,4.348114061355591
208,0.007745871366932988,3.559394121170044,1.0,0.5018065887353879,4.344763994216919
209,0.007682520244270563,3.5613434314727783,1.0,0.50201912858661,4.3404515266418455
210,0.007589965173974633,3.5618770122528076,1.0,0.5015940488841658,4.324572420120239
211,0.007522613974288106,3.5665042400360107,1.0,0.5015940488841658,4.322206926345825
212,0.0075102150440216064,3.567263126373291,1.0,0.5018065887353879,4.3225761413574215
213,0.007426568539813161,3.566652774810791,1.0,0.5015940488841658,4.326566410064697
214,0.007343563297763467,3.5664539337158203,1.0,0.5018065887353879,4.310246562957763
215,0.007240144489333034,3.5649492740631104,1.0,0.5018065887353879,4.30932354927063
216,0.007234280416741967,3.5689167976379395,1.0,0.5013815090329437,4.317737293243408
217,0.007163029722869396,3.5709028244018555,1.0,0.50201912858661,4.300757122039795
218,0.0070538881700485945,3.5708048343658447,1.0,0.50201912858661,4.29439787864685
219,0.0070014288648962975,3.574157238006592,1.0,0.5026567481402763,4.302315759658813
220,0.006922591011971235,3.574291706085205,1.0,0.50201912858661,4.301162815093994
221,0.006869901018217206,3.576658010482788,1.0,0.5022316684378321,4.291166162490844
222,0.006813805643469095,3.575697422027588,1.0,0.5018065887353879,4.287714910507202
223,0.0067455673590302466,3.5739846229553223,1.0,0.5018065887353879,4.292144250869751
224,0.006703131273388863,3.5760576725006104,1.0,0.50201912858661,4.274065446853638
225,0.0066135265864431855,3.5746729373931885,1.0,0.5015940488841658,4.272259664535523
226,0.006569408485665918,3.5779900550842285,1.0,0.5018065887353879,4.272598600387573
227,0.006530141644179821,3.581589460372925,1.0,0.5018065887353879,4.257574939727784
228,0.006482696952298283,3.5844502449035645,1.0,0.5018065887353879,4.261586141586304
229,0.00642668972723186,3.5804684162139893,1.0,0.5018065887353879,4.251251840591431
230,0.00634559583850205,3.580324172973633,1.0,0.5022316684378321,4.250975561141968
231,0.0062981393653899435,3.5815837383270264,1.0,0.5018065887353879,4.254061460494995
232,0.006251869117841124,3.581807851791382,1.0,0.5022316684378321,4.248483896255493
233,0.0062188116367906335,3.58231520652771,1.0,0.5018065887353879,4.235216379165649
234,0.0061636823695153,3.5880982875823975,1.0,0.5022316684378321,4.232487344741822
235,0.006088040396571159,3.5877034664154053,1.0,0.50201912858661,4.235260057449341
236,0.00604466088116169,3.584712028503418,1.0,0.5018065887353879,4.22613296508789
237,0.005997945228591562,3.586395740509033,1.0,0.5018065887353879,4.225375127792359
238,0.005917141959071159,3.5921061038970947,1.0,0.50201912858661,4.223662805557251
239,0.00589293004013598,3.5885095596313477,1.0,0.5018065887353879,4.2181943416595455
