epoch,train_loss,train_acc,val_acc,cv,dynamic_wd,momentum
1,4.672316646575927,0.010629251700680272,0.009351753453772583,0.13191861435770988,0.1,0.0
2,4.5924430847167965,0.012755102040816327,0.009139213602550478,0.16880496442317963,0.1,0.0
3,4.574976825714112,0.01636904761904762,0.0076514346439957494,0.16246681809425353,0.1,0.0
4,4.568492317199707,0.015306122448979591,0.0061636556854410204,0.164762544631958,0.1,0.0
5,4.56589527130127,0.015093537414965986,0.0076514346439957494,0.18065192699432372,0.1,0.0
6,4.560902643203735,0.01403061224489796,0.007438894792773645,0.21689680963754654,0.1,0.0
7,4.551385545730591,0.017857142857142856,0.004675876726886291,0.2987570822238922,0.1,0.0
8,4.542975807189942,0.02189625850340136,0.004675876726886291,0.46264984011650084,0.1,0.0
9,4.5229349613189695,0.02189625850340136,0.0038257173219978747,0.7286164164543152,0.1,0.0
10,4.509344291687012,0.03188775510204082,0.004250797024442083,1.0815501749515533,0.1,0.0
11,4.485517597198486,0.038477891156462586,0.004038257173219979,1.5120356798171997,0.1,0.0
12,4.450274133682251,0.04570578231292517,0.005738575982996812,2.0063742876052855,0.1,0.0
13,4.396807909011841,0.05144557823129252,0.002763018065887354,2.4419324159622193,0.1,0.0
14,4.346806621551513,0.06887755102040816,0.0036131774707757703,2.8785394191741944,0.1,0.0
15,4.276584053039551,0.08652210884353742,0.005100956429330499,3.2461408138275147,0.1,0.0
16,4.197991752624512,0.11224489795918367,0.006376195536663124,3.6428038835525514,0.1,0.0
17,4.112834501266479,0.13350340136054423,0.008076514346439958,4.238792300224304,0.1,0.0
18,4.034815335273743,0.17006802721088435,0.009351753453772583,4.704015159606934,0.1,0.0
19,3.955989623069763,0.19770408163265307,0.010839532412327312,5.186194849014282,0.1,0.0
20,3.866499400138855,0.23809523809523808,0.016153028692879916,5.847028684616089,0.1,0.0
21,3.7841211318969727,0.2674319727891156,0.018065887353878853,6.041012239456177,0.1,0.0
22,3.676472544670105,0.29846938775510207,0.022954303931987247,6.548233509063721,0.1,0.0
23,3.5658567905426026,0.3369472789115646,0.026780021253985122,6.722351789474487,0.1,0.0
24,3.465984344482422,0.3692602040816326,0.03443145589798087,6.975939607620239,0.1,0.0
25,3.3592623710632323,0.3977465986394558,0.03953241232731137,7.054459571838379,0.1,0.0
26,3.2245773315429687,0.4366496598639456,0.05100956429330499,7.066825580596924,0.1,0.0
27,3.095910739898682,0.46938775510204084,0.0567481402763018,6.946755504608154,0.1,0.0
28,2.979817342758179,0.5012755102040817,0.06333687566418704,6.954989862442017,0.1,0.0
29,2.8480119466781617,0.5408163265306123,0.08459086078639745,6.782836484909057,0.1,0.0
30,2.7066227436065673,0.5678146258503401,0.0922422954303932,6.5749585151672365,0.1,0.0
31,2.5949408531188967,0.5928996598639455,0.10584484590860786,6.5167406558990475,0.1,0.0
32,2.4546186208724974,0.6269132653061225,0.12986184909670564,6.3038993835449215,0.1,0.0
33,2.3178407669067385,0.6496598639455783,0.14495217853347503,6.2372424602508545,0.1,0.0
34,2.2048493385314942,0.673469387755102,0.16025504782146652,6.052800178527832,0.1,0.0
35,2.0858158230781556,0.703656462585034,0.1849096705632306,6.124937295913696,0.1,0.0
36,1.9436778545379638,0.734906462585034,0.2106269925611052,6.015364027023315,0.1,0.0
37,1.819784367084503,0.7597789115646258,0.230605738575983,5.959870100021362,0.1,0.0
38,1.7012241005897522,0.7874149659863946,0.25674814027630183,5.923172903060913,0.1,0.0
39,1.6040534257888794,0.8169642857142857,0.28459086078639745,5.8412354469299315,0.1,0.0
40,1.48065105676651,0.8375850340136054,0.30371944739638684,5.81090202331543,0.1,0.0
41,1.3747068166732788,0.8613945578231292,0.3292242295430393,5.734636926651001,0.1,0.0
42,1.2811596393585205,0.8826530612244898,0.3472901168969182,5.719586324691773,0.1,0.0
43,1.1777252912521363,0.8983843537414966,0.3662061636556854,5.690862464904785,0.1,0.0
44,1.0859951019287108,0.9181547619047619,0.38746014877789586,5.647511959075928,0.1,0.0
45,1.0109906554222108,0.9332482993197279,0.40233793836344317,5.571507596969605,0.1,0.0
46,0.9333435952663421,0.9445153061224489,0.4153028692879915,5.578692388534546,0.1,0.0
47,0.8609989225864411,0.9606717687074829,0.43273113708820404,5.524450445175171,0.1,0.0
48,0.7839271068572998,0.9664115646258503,0.44357066950053137,5.531296634674073,0.1,0.0
49,0.7272124946117401,0.9755527210884354,0.4535600425079702,5.495297765731811,0.1,0.0
50,0.6546963036060334,0.9812925170068028,0.4684378320935175,5.483993244171143,0.1,0.0
51,0.5918565392494202,0.9861819727891157,0.4733262486716259,5.4313881397247314,0.1,0.0
52,0.5360386312007904,0.9908588435374149,0.47970244420828906,5.472740030288696,0.1,0.0
53,0.48897745013237,0.9957482993197279,0.4875664187035069,5.476221132278442,0.1,0.0032572196282707683
54,0.44806439578533175,0.9965986394557823,0.4871413390010627,5.435214710235596,0.1,-0.007193876473844816
55,0.4082358002662659,0.9976615646258503,0.491817215727949,5.403649044036865,0.1,0.006017117774718358
56,0.3767374366521835,0.998937074829932,0.49330499468650374,5.371844339370727,0.1,0.0019307254285026052
57,0.3440655946731567,0.998937074829932,0.4956429330499469,5.375727319717408,0.1,0.00196051672767868
58,0.31326883733272554,0.9993622448979592,0.49436769394261426,5.324704360961914,0.1,0.001941641338489443
59,0.2899587363004684,0.9993622448979592,0.4967056323060574,5.337317705154419,0.1,-0.014259191091199075
60,0.26275652945041655,0.9995748299319728,0.49819341126461214,5.320265245437622,0.1,-0.0020671187108240426
61,0.24078333824872972,1.0,0.49883103081827845,5.2722245216369625,0.1,-0.003945801972549384
62,0.21861578822135924,0.9995748299319728,0.49861849096705635,5.290304803848267,0.1,0.0009736090430686887
63,0.20035188645124435,1.0,0.49861849096705635,5.262171840667724,0.1,-0.002610986680046345
64,0.18687265813350679,1.0,0.49968119022316687,5.26293454170227,0.1,-0.008482687574213022
65,0.17442811131477357,1.0,0.500106269925611,5.266252851486206,0.1,0.006761686709370393
66,0.16332938522100449,1.0,0.500106269925611,5.242172527313232,0.1,-0.0009894689158962047
67,0.15370067209005356,1.0,0.5003188097768332,5.219804811477661,0.1,0.0008819302014446842
68,0.14343129545450212,1.0,0.500106269925611,5.213527584075928,0.1,-0.0024857109342290465
69,0.1343594029545784,1.0,0.5003188097768332,5.1911743640899655,0.1,0.0034358683545041686
70,0.12402088642120361,1.0,0.5005313496280552,5.160956382751465,0.1,0.0017224278167850679
71,0.11777587607502937,1.0,0.5003188097768332,5.198020792007446,0.1,0.0016658429745948756
72,0.10982108339667321,1.0,0.5003188097768332,5.1653584957122805,0.1,0.004672838544933811
73,0.10445764735341072,1.0,0.5007438894792774,5.146709060668945,0.1,-0.0008300848929206988
74,0.10101700946688652,1.0,0.5005313496280552,5.159912204742431,0.1,0.012145817663004464
75,0.09573720172047614,1.0,0.500106269925611,5.131342363357544,0.1,-0.008668242379611942
76,0.0911651998758316,1.0,0.5007438894792774,5.106123781204223,0.1,0.0025078120709708883
77,0.0871046781539917,1.0,0.5009564293304994,5.0895579814910885,0.1,0.0064951704640030875
78,0.08349408656358719,1.0,0.5009564293304994,5.078863096237183,0.1,-0.0035916363621050205
79,0.08002731874585152,1.0,0.5013815090329437,5.087024593353272,0.1,-0.002525740400221621
80,0.07626480534672737,1.0,0.5003188097768332,5.050831747055054,0.1,-0.0076042846642196005
81,0.07290439084172248,1.0,0.5005313496280552,5.06767897605896,0.1,-0.005966152091669887
82,0.07036026269197464,1.0,0.5011689691817216,5.072922658920288,0.1,0.008580741672177433
83,0.06738807410001754,1.0,0.5005313496280552,5.041440773010254,0.1,-0.013285958919883906
84,0.0648538775742054,1.0,0.5011689691817216,5.038533306121826,0.1,0.0012826117765890085
85,0.06212167702615261,1.0,0.5007438894792774,5.035041475296021,0.1,0.008071454366502098
86,0.060670292004942894,1.0,0.5013815090329437,5.029712867736817,0.1,0.006456988567098788
87,0.058238304778933526,1.0,0.5009564293304994,5.005820274353027,0.1,-0.009304846034044417
88,0.05622255504131317,1.0,0.5009564293304994,5.004555749893188,0.1,-0.00646168766769743
89,0.05438704416155815,1.0,0.5009564293304994,4.9826390743255615,0.1,-0.01493195772674873
90,0.05278662852942943,1.0,0.5005313496280552,4.993206310272217,0.1,-0.006787654784399026
91,0.05115626603364944,1.0,0.5007438894792774,4.993048810958863,0.1,-0.003462563604655012
92,0.049655263870954515,1.0,0.5009564293304994,4.982172203063965,0.1,-0.0025545738749530606
93,0.04792107790708542,1.0,0.5013815090329437,4.98427562713623,0.1,0.017852083342268652
94,0.04624327160418033,1.0,0.5007438894792774,4.9641022205352785,0.1,-0.003027740289310435
95,0.04517329931259155,1.0,0.5015940488841658,4.959383249282837,0.1,-0.002209754824466616
96,0.04366331249475479,1.0,0.5009564293304994,4.966516542434692,0.1,-0.002198654830464696
97,0.04260284379124642,1.0,0.5011689691817216,4.957265472412109,0.1,0.002465584155104854
98,0.04145949296653271,1.0,0.5011689691817216,4.9268570899963375,0.1,0.004208122832158389
99,0.040296933799982074,1.0,0.5011689691817216,4.908122396469116,0.1,-0.006432516782056178
100,0.03938675299286842,1.0,0.5009564293304994,4.907184600830078,0.1,-0.006497390451666348
101,0.038796009868383406,1.0,0.5007438894792774,4.921410465240479,0.1,0.003460817555335567
102,0.03733014538884163,1.0,0.5009564293304994,4.9158824443817135,0.1,0.002891967865674901
103,0.03616961240768433,1.0,0.5013815090329437,4.887932300567627,0.1,-0.012961073094783285
104,0.03532488904893398,1.0,0.5013815090329437,4.906870603561401,0.1,-0.00228566827153736
105,0.034498822316527365,1.0,0.50201912858661,4.891507625579834,0.1,0.0008615747478786498
106,0.033716412633657454,1.0,0.5011689691817216,4.891450119018555,0.1,0.011121307205338823
107,0.0328852467238903,1.0,0.5015940488841658,4.888248920440674,0.1,0.0033465907181358073
108,0.03193846698850393,1.0,0.5011689691817216,4.87413067817688,0.1,0.005349144910804762
109,0.03126143477857113,1.0,0.5013815090329437,4.8604755878448485,0.1,-0.0005424143538573008
110,0.030514116771519183,1.0,0.5015940488841658,4.8586427688598635,0.1,-0.001968326743516508
111,0.029844220355153085,1.0,0.5011689691817216,4.853425359725952,0.1,0.008540043853453867
112,0.029201612621545792,1.0,0.5013815090329437,4.836956262588501,0.1,0.0007733760483462603
113,0.028571621142327787,1.0,0.5015940488841658,4.818316984176636,0.1,-0.01164054759766333
114,0.02810110282152891,1.0,0.5015940488841658,4.824769449234009,0.1,0.005807327032006492
115,0.027567327208817004,1.0,0.5018065887353879,4.805461263656616,0.1,-0.005894390118937642
116,0.02676602527499199,1.0,0.5013815090329437,4.803151988983155,0.1,-0.0025620813983878283
117,0.02642770893871784,1.0,0.5015940488841658,4.8133128643035885,0.1,0.007120460732756564
118,0.025537253729999064,1.0,0.5015940488841658,4.801598930358887,0.1,0.00017279154616183456
119,0.025505423173308374,1.0,0.5009564293304994,4.786393022537231,0.1,-0.011238034779688965
120,0.02471458464860916,1.0,0.5009564293304994,4.792098617553711,0.1,0.006871543486330642
121,0.024377605691552163,1.0,0.5011689691817216,4.782831048965454,0.1,-0.006486981486986489
122,0.023859529942274093,1.0,0.5013815090329437,4.775990581512451,0.1,-0.0007679752885845593
123,0.023577100597321987,1.0,0.5015940488841658,4.763609123229981,0.1,1.3826469047810018e-05
124,0.02304861880838871,1.0,0.5013815090329437,4.778468751907349,0.1,0.004061493564835397
125,0.022612852789461613,1.0,0.5013815090329437,4.764702796936035,0.1,-0.0011291521230656235
126,0.022296392545104026,1.0,0.5011689691817216,4.7545616149902346,0.1,0.00413754979520951
127,0.02168190460652113,1.0,0.5015940488841658,4.748293495178222,0.1,0.007869222415099722
128,0.02137406710535288,1.0,0.5015940488841658,4.738451671600342,0.1,-0.003854312824547756
129,0.020905236527323724,1.0,0.5013815090329437,4.73046989440918,0.1,-0.0005292535576485887
130,0.020745298080146312,1.0,0.5011689691817216,4.733680772781372,0.1,0.0023659659362871887
131,0.020259535312652587,1.0,0.5013815090329437,4.73531928062439,0.1,0.009277797395099773
132,0.019862321205437183,1.0,0.5009564293304994,4.7089605808258055,0.1,-0.007533227705635991
133,0.019590565375983714,1.0,0.50201912858661,4.716740465164184,0.1,-0.005005014785296847
134,0.019361991435289383,1.0,0.5018065887353879,4.702968692779541,0.1,-0.00871960989845262
135,0.019023895263671875,1.0,0.5018065887353879,4.709480476379395,0.1,0.005612221155726982
136,0.01869450192898512,1.0,0.5011689691817216,4.707759189605713,0.1,0.007303452929876918
137,0.018476514890789986,1.0,0.5013815090329437,4.691709566116333,0.1,-0.003265681170196183
138,0.018192203529179097,1.0,0.5015940488841658,4.686292934417724,0.1,0.0062687734841894134
139,0.017896289937198162,1.0,0.5013815090329437,4.682978010177612,0.1,0.0011629827500204675
140,0.01768744196742773,1.0,0.5015940488841658,4.671999883651734,0.1,-0.0023832613805255896
141,0.017351853661239147,1.0,0.5015940488841658,4.6624000549316404,0.1,-0.004750488435845019
142,0.016884985752403735,1.0,0.5015940488841658,4.658201742172241,0.1,0.0034561505731040623
143,0.01662972280755639,1.0,0.5018065887353879,4.662492561340332,0.1,0.001814911533121719
144,0.016401878371834756,1.0,0.5015940488841658,4.64978404045105,0.1,-0.004803031299339093
145,0.016188568249344826,1.0,0.5015940488841658,4.639833450317383,0.1,-0.011612039677999998
