epoch,train_loss,train_acc,val_acc,cv,weight_decay
1,4.672316646575927,0.010629251700680272,0.009351753453772583,0.131918615847826,0.1
2,4.592443132400513,0.012755102040816327,0.009139213602550478,0.16880497634410857,0.1
3,4.574976778030395,0.01636904761904762,0.0076514346439957494,0.1624668300151825,0.1
4,4.568492269515991,0.015306122448979591,0.0061636556854410204,0.16476256996393204,0.1
5,4.565895223617554,0.015093537414965986,0.0076514346439957494,0.1806519627571106,0.1
6,4.560902643203735,0.01403061224489796,0.007438894792773645,0.2168968588113785,0.1
7,4.551385498046875,0.017857142857142856,0.004675876726886291,0.29875715672969816,0.1
8,4.542975854873657,0.02189625850340136,0.004675876726886291,0.46265007853507994,0.1
9,4.5229349613189695,0.02189625850340136,0.0038257173219978747,0.7286168873310089,0.1
10,4.509344291687012,0.03188775510204082,0.004250797024442083,1.081550943851471,0.1
11,4.485517597198486,0.038477891156462586,0.004038257173219979,1.5120367884635926,0.1
12,4.450274038314819,0.04570578231292517,0.005738575982996812,2.0063756108283997,0.1
13,4.3968078136444095,0.05144557823129252,0.002763018065887354,2.441933345794678,0.1
14,4.346806573867798,0.06887755102040816,0.0036131774707757703,2.8785396575927735,0.1
15,4.276583957672119,0.08652210884353742,0.005100956429330499,3.2461409091949465,0.1
16,4.197991561889649,0.11224489795918367,0.006376195536663124,3.642804479598999,0.1
17,4.112834405899048,0.13350340136054423,0.008076514346439958,4.238794255256653,0.1
18,4.034815192222595,0.17006802721088435,0.009351753453772583,4.704017257690429,0.1
19,3.955989360809326,0.19770408163265307,0.010839532412327312,5.186196756362915,0.1
20,3.8664992332458494,0.23809523809523808,0.016153028692879916,5.847031736373902,0.1
21,3.784120965003967,0.2674319727891156,0.018065887353878853,6.041014909744263,0.1
22,3.6764722585678102,0.29846938775510207,0.022954303931987247,6.548237085342407,0.1
23,3.5658565521240235,0.3369472789115646,0.026780021253985122,6.722356224060059,0.1
24,3.4659841060638428,0.3692602040816326,0.03443145589798087,6.975945377349854,0.1
25,3.359262156486511,0.3977465986394558,0.03953241232731137,7.054466438293457,0.1
26,3.2245770692825317,0.4366496598639456,0.05100956429330499,7.066832447052002,0.1
27,3.0959102869033814,0.46938775510204084,0.0567481402763018,6.9467630863189695,0.1
28,2.9798169136047363,0.5012755102040817,0.06333687566418704,6.954998779296875,0.1
29,2.8480114698410035,0.5408163265306123,0.08459086078639745,6.782846164703369,0.1
30,2.706622338294983,0.5678146258503401,0.0922422954303932,6.574968957901001,0.1
31,2.5949403285980224,0.5928996598639455,0.10584484590860786,6.516752529144287,0.1
32,2.454618048667908,0.6269132653061225,0.12986184909670564,6.303912353515625,0.1
33,2.317840266227722,0.6496598639455783,0.14495217853347503,6.237255334854126,0.1
34,2.2048487663269043,0.673469387755102,0.16025504782146652,6.05281434059143,0.1
35,2.0858152985572813,0.703656462585034,0.1849096705632306,6.124952220916748,0.1
36,1.943677306175232,0.734906462585034,0.2106269925611052,6.015379333496094,0.1
37,1.8197837948799134,0.7597789115646258,0.230605738575983,5.959884691238403,0.1
38,1.7012234926223755,0.7874149659863946,0.25674814027630183,5.923188829421997,0.1
39,1.6040528416633606,0.8169642857142857,0.28459086078639745,5.841251468658447,0.1
